,"Sales
(₹ Millions)",% of Sales,"Contribution to
Revenue from
Operations
(₹ Millions)","% of Revenue from
Operations"
Damodar Valley Corporation (DVC),"1 5,187.63",18.00%,"1 6,356.50",23.89%
Steel Authority of India Limited (SAIL),"1 1,054.93",13.11%,"1 1,875.49",17.35%
"Uttar Pradesh Rajya Vidyut Utpadan
Nigam Limited (UPRVUNL)","7 ,880.95",9.34%,"8 ,332.77",12.17%
