,,"As per explanation and information
given to us, new heaps created during the
year are having approval of competent
authority."
3,"Whether the impact of penalty for illegal
mining as imposed by the Hon’ble Supreme
Court/ National Green Tribunal/ State
Pollution Control Board has been duly
considered and accounted for?","There is no demand on account of illegal
mining as imposed by the Hon’ble
Supreme Court/ National Green
Tribunal/ State Pollution control Board
as on 31.03.2023.
However, demand notices amounting to
₹ 173,444.60 million have been issued in
respect of 47 Projects/Mines/ Collieries
of the company by State Government
(District Mining Officer) in pursuance of
the judgement dated 02.08.2017 of
Hon’ble Supreme Court of India vide
W.P. (C) No. 114 of 2014 in Common
Cause vs. Union of India & Others.
Based on the judgment received from
Revisional Authority, MoC and legal
opinion, the above demand has been
vacated.
The same is suitably disclosed in the
Additional Notes to Accounts vide no.
38.4.(a).(ii)."
4,"Whether any independent Assessment/
Certification in respect of migration process of
data from Coalnet portal to SAP has been done.","Till date no independent
assessment/certification in respect of
migration process of data from Coal-Net
portal to SAP has been done."
