Name,Designation,"Date (if joined/ceased during the financial
year)"
Shri Samiran Dutta,Chairman cum Managing Director,
Sri Debashish Nanda,Government Nominee Director; Director (BD) CIL,
Sri Rakesh Kumar Sahay,Director (Finance),
Shri Sanjay Kumar Singh,Director (Technical/OP),
Sri Shankar Nagachari,Director (Technical/P&P) Additional charge,
Sri Murlikrishna Ramaiah,Director (Personnel),
Shri Anandji Prasad,"Part time Director (Project Advisor, MoC, Govt. Nominee)",
Smt. Shashi Singh,Independent Director,
Shri Alok Kumar Agrawal,Independent Director,
Shri Satyabrata Panda,Independent Director,
Shri Ram Kumar Roy,Independent Director,
Shri B.K. Parui,Company Secretary,
