Particulars,Reserves & Surplus,,,,,Total
,"Capital
Redemption
reserve",Capital Reserve,General Reserve,Retained Earnings,"OCI - Re-
measurement of
Defined Benefits
Plans (net of Tax)",
"Balance as at April 01, 2024",-,-,"1 ,409.90","5,574.80",( 337.50),"6,647.20"
Total Comprehensive Income,,,,"7 ,487.00","( 1,847.10)","5 ,639.90"
Transfers and Other Adjustments,,,7 82.20,( 782.20),,-
Interim Dividend,,,,,,-
Final Dividend,,,,( 444.30),,- 4 44.30
Corporate Dividend tax,,,,,,-
Buy Back of Shares,,,,,,
Tax on Buy back,,,,,,-
Issue of Bonus Shares,,,,,,-
"Balance as at September 30, 2024",-,-,"2,192.10","11,835.30","(2,184.60)","11,842.80"
