"Sl.
No.",Particulars,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
A,"Change in Defined Benefit Obligation
(DBO)",,,
1,DBO at end of prior period,"7,586.00","7,058.80","7,044.90"
2,Current service cost,150.90,152.50,166.80
3,Interest cost on the DBO,522.20,513.00,453.20
4,Curtailment (credit)/ cost,0.00,0.00,0.00
5,Settlement (credit)/ cost,0.00,0.00,0.00
6,Past service cost - plan amendments,0.00,0.00,0.00
7,Acquisitions (credit)/ cost,0.00,0.00,0.00
8,Actuarial (gain)/loss - experience,(261.00),(327.50),582.20
9,"Actuarial (gain)/loss - demographic
assumptions",0.00,0.00,0.00
10,"Actuarial (gain)/loss - financial
assumptions",359.10,253.10,(426.80)
11,Benefits paid directly by the Company,0.00,0.00,0.00
12,Benefits paid from plan assets,(252.70),(63.80),(761.40)
13,DBO at end of current period,"8,104.40","7,586.00","7,058.80"
