F,"CurrentandNon-CurrentLiability
Breakup as at March 31",,,,,
1,Current Liability,"3 ,587.00",,"3,756.90",,"3,316.50"
2,Non-Current Liability,"2 8,431.10",,"29,154.70",,"28,849.70"
3,Liability as at March 31,"3 2,018.10",,"32,911.50",,"32,166.20"
