c. Title deeds of Immovable Properties not held in name of the Company,,,,,
Description of item of property,"Gross carrying
value of Freehold
and Other Land as
at September 30,
2025
(₹ in Millions)","Title deeds
held in the
name of
Company","Whether title deed
holder is a promoter,
director or relative# of
promoter*/director or
employee of
promoter/director","Property
held since
which date",Reason for not being held in the name of the company
Freehold Land,"1,830.70","Only in case
of Directly
purchased by
company
(1093.18 Ha)",Not Applicable,"Different
Dates","Outof16396.34Haofthetotallandacquiredforthecompany,divertedforestlandis334.39Haandfreeholdlandis16061.95Ha
whichincludes9945.89HaoflandisunderthecategoryofvestedlandthroughCokingCoalmines/CoalMinesNationalizationAct
1972&1973;1090.17HaoflandrelatedtoCoalMinesLabourWelfareOrganizationincludingCentralHospitalandfourother
Hospitals,MinesRescueStationsofGovt.ofIndia,fourWasheriesofSAIL,erstwhileCoalBoardandCentralJhariaProjectswhich
have been transferred to the Company bythe Govt. ofIndia, and 5025.89Ha ofland is acquired underLand AcquisitionAct,
CBA(A&D)Act,MergerofNCDC,Governmenttransferredland(outofwhich1095Halandhasbeendirectlypurchasedandtitle
deeds in these cases are held in the name of the company)."
Other land,607.50,"Not
Applicable",Not Applicable,"Different
Dates",Includes 34.62 Ha of land leased from Railways.
