"Other Land (incl.
Leasehold Land) :","Life of the project or lease term whichever is
lower"
Building (incl. Roads) :,3-60 years
Telecommunication :,3-9 years
Railway Sidings :,15 years
"Plant and Equipment (incl.
Railway Corridor, Others) :",1-30 years
Computers and Laptops :,3 Years
Office equipment :,2-5 years
Furniture and Fixtures :,10 years
Vehicles :,8-10 years
