Sl No,Case No.,Brief of the Case
Case-1,"CB/03/2023 Registered
on 03.05.2023","AllegedirregularitiesintheremittanceofPFandPensioncontributionat
Central Hospital Dhanbad"
Case-2,"CB/04/2023 Registered
on 15.05.2023","IrregulardeploymentofSunday/holidaytothedroversofwatertankersand
personsofautodepartmentatKustorecollieryinPBAreaevenifwater
tanker remains breakdown."
Case-3,"CB/05/2023 Registered
on 15.09.2023","Allegedacquisitionofassetdisproportionatetohisknownsourcesof
incomebyShriRatnakarMallik,AreaPersonnelManage.Block-IIAreaof
BCCL."
Case-4,"CB/01/2024 Registered
on 06.01.2024",Alleged corrupt practices by the officials of Katras Area.
Case-5,"CB/02/2024 Registered
on 28.03.2024","AllegedirregularitiesinissuanceofNOCtoretiredemployeewithout
handing over his allotted Company’s quarter."
Case-6,"CB/04/2024 Registered
on 29.03.2024","AllegedirregularitiesincommittedbyDr.S.S.KumarwhilepostedasArea
Medical Officer, Govindpur Area"
