Description of property,"Gross carrying value
(in ₹ Millions)",Held in Name of,"Whether promoter,
director or their
relative or employee","Period held – indicate
range, where
appropriate",Reason for not being held in name of the Company
Freehold Land,"1,504.50","Only in case of directly
purchased by the
Company
(1079.75 Ha)",Not Applicable,Different dates,"Outofthetotalfreeholdlandof16381.09Haheldinthepossessionof
BCCL,9945.88Haoflandisunderthecategoryofvestedlandthrough
CokingCoalMines/CoalMinesNationalisationAct,1972and1973;
1090.17HaoflandisrelatedtoCoalMinesLabourWelfareOrganisation
includingCentralHospitalandfourotherHospitals,MinesRescueStations
ofGovernmentofIndia,fourWasheriesofSAIL,erstwhileCoalBoardand
CentralJhariaProjectshavebeentransferredtotheCompanybythe
GovernmentofIndia;balancelandof4265.29Haoflandisacquiredunder
LandAcquisitionAct,CBA(A&D)Act,MergerofNCDC,Government
transferredlandandforestdivertedland.Nowasperthenotificationofthe
GovernmentofIndia,dated07.04.2022,themutationofthoselandacquired
underCoalMines(Nationalization)Act1972&1973aswellasCoal
BearingAreas(Acquisition&Development)Act1957,arerequiredtobe
mutatedwithrespectiveStateGovernmentsinthenameoftheCompany.
But the said mutation, has not yet been completed.
3.Incaseofdirectlypurchasedlandsof1,079.75HabytheCompany,proof
ofmutationsinfavouroftheCompanycouldnotbeproducedforour
verification by the Estate Department of Head Quarter.
4.Further,landsinthenameofBCCL,HQ,measuring542.22acres,outof
whichnodocumentaryevidencescouldbeproducedof42.72acreswith
relation to the Company’s ownership."
Other Land,404.30,Not Applicable,Not Applicable,Different dates,"3.864 Ha of Railway land at Loyabad station is taken on lease for a period
of 35 years from March 2022."
