"Sl.
No.",Particulars,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
,"DBO on base assumptions as at March
31","9 ,232.70","9,216.70","7,663.90"
A,Discount Rate,,,
,Discount Rate as at March 31,6.60%,7.00%,7.30%
1,"EffectonDBOdueto0.5%increasein
Discount Rate",(380.90),(362.00),(298.10)
,Percentage Impact,-4%,-4%,-4%
2,"EffectonDBOdueto0.5%decreasein
Discount Rate",412.90,391.30,322.00
,Percentage Impact,4%,4%,4%
