,"Balance as on April 01,
2024","Recognised/ (reversed)
in profit and loss during
the period","Recognised in other
comprehensive income
during the period","Balance as on
September 30,
2024"
(A) Deferred Tax Assets:,,,,
"Provision for Doubtful Advances, Claims and Debts","1 ,979.70",( 74.70),-,"1 ,905.00"
Employee Benefits,"3 ,721.20",( 225.40),-,"3 ,495.80"
Others (Lease Liabilities and Site Restoration),"2 ,526.70",8 3.90,-,"2 ,610.60"
TOTAL OF (A),"8 ,227.60",( 216.20),-,"8 ,011.40"
(B) Deferred Tax Liability:,,,,
"Related to Property, Plant and Equipment and Intangible assets","1 ,211.30","1 ,640.40",-,"2 ,851.70"
Others,2 .40,( 2.40),-,( 0.00)
TOTAL OF (B),"1 ,213.70","1 ,638.00",-,"2 ,851.70"
Net Deferred Tax Asset/ (Deferred Tax Liability) (C= A-B),"7 ,013.90","( 1,854.20)",-,"5 ,159.70"
D. Re measurement of Defined benefit Plan DTL/DTA,1 56.90,-,6 21.20,7 78.10
Net Deferred Tax Asset/ (Deferred Tax Liability) (E=C+D),"7 ,170.80","( 1,854.20)",6 21.20,"5 ,937.80"
