G. Provision for Liability of CSR Expenses,"For The Six
Months Ended
September 30,
2025","For The Six
Months Ended
September 30,
2024","For The Year
Ended
March 31, 2025","For The Year
Ended
March 31,
2024","For The
Year Ended
March 31,
2023"
Opening Balance,77.50,35.20,35.20,100.00,75.00
Addition during the period,0.00,0.00,65.10,,48.60
Adjustment during the year,0.50,6.80,22.80,64.80,23.60
Closing Balance,77.00,28.40,77.50,35.20,100.00
