Particulars,Non-current Borrowings*,Non-current Borrowings*,Non-current Borrowings*,Finance Lease Liabilities,Current borrowings
"Opening balance as at April 01, 2024
Cash flows during the year
Non-cash changes due to:
Acquisitions and unwinding finance cost under finance lease
Interest on borrowings
Variation in exchange rates
Transaction costs on borrowings",,,,"2 ,302.30
( 874.30)
9 03.70",
"Closing balance as at March 31, 2025",-,-,-,"2 ,331.70",-
