C,Assumptions,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
1,Discount Rate,6.60%,7.00%,7.30%
2,Rate of salary increase,"Executives : 9%
Non-Executives :
6.25%","Executives : 9%
Non-Executives : 6.25%","Executives : 9%
Non-Executives : 6.25%"
