"Sl.
No.",Particulars,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
A,Profit & Loss (P&L),,,
1,Current service cost,"1,806.10","1,632.20","1,400.30"
2,Past service cost - plan amendments,0.00,888.90,0.00
3,Curtailment cost / (credit),0.00,0.00,0.00
4,Settlement cost / (credit),0.00,0.00,0.00
5,Service cost,"1,806.10","2,521.00","1,400.30"
6,"Net interest on net defined benefit
liability / (asset)",470.60,243.00,203.60
7,"Immediaterecognitionof(gains)/losses
– other long term employee benefit","(1,311.00)",630.20,205.60
8,Cost recognised in P&L,965.70,"3,394.20","1,809.50"
