"Opening Net Worth (E =
B+C-D)","65,512.30","53,554.70","53,554.70","37,910.10","31,262.30"
Equity Share Capital (F),"46,570.00","46,570.00","46,570.00","46,570.00","46,570.00"
Other Equity (G),"10,065.20","11,842.80","18,057.30","6,647.20","(8,531.00)"
"Other Comprehensive
Income Reserve (H)","(1,673.70)","(2,184.60)",(885.00),(337.50),128.90
"Closing Net Worth (I =
F+G-H)","58,308.90","60,597.40","65,512.30","53,554.70","37,910.10"
"Average Net Worth [J =
(E+I)/2]","61,910.60","57,076.05","59,533.50","45,732.40","34,586.20"
Return on Net Worth,2.00%*,13.12%*,20.83%,34.21%,19.22%
