B,Change in Fair Value of Assets,,,
1,"Fairvalueofassets atendofprior
period","4,122.40","3,332.30","2,180.50"
2,Acquisition adjustment,0.00,0.00,0.00
3,Interest income on plan assets,299.00,261.10,179.70
4,Employer contributions,551.80,553.70,"1,686.70"
5,"Returnonplanassetsgreater/(lesser)
than discount rate",67.70,39.10,46.70
6,Benefits paid,(252.70),(63.80),(761.40)
7,"FairValueofassetsattheendof
current period","4,788.30","4,122.40","3,332.20"
