Name of the Related Party,Loan to Related Party,"Loan from Related
Party","Current Account
Balances (Payable) /
Receivable","Outstanding Balances
(Payables) /
Receivables"
Coal India Limited (CIL),0.00,0.00,(3671.50),0.00
IICM,0.00,0.00,(0.10),0.00
Central Mine Planning & Design Institute Limited (CMPDI),0.00,0.00,0.00,(443.10)
