"Sl.
No.",Particulars,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
,"DBO on base assumptions as at March
31","8 ,104.40","7,586.00","7,058.80"
A,Discount Rate,,,
,Discount Rate as at March 31,6.60%,7.00%,7.30%
1,"EffectonDBOdueto0.5%increasein
Discount Rate",(444.60),(414.10),(387.90)
,Percentage Impact,-5%,-5%,-5%
2,"EffectonDBOdueto0.5%decreasein
Discount Rate",489.80,455.70,426.80
,Percentage Impact,6%,6%,6%
