Sl No.,Particulars,Central Government,"State Government and
local authorities","Central Public Sector
Enterprises",Others,Total
1,"Opening as at April
01, 2025","8,178.00","10,817.50",0.00,"22,891.90","41,887.40"
2,"Additions during the
year",210.00,"1,234.30",0.00,16.40,"1,460.70"
3,"Claims settled during
the year",,,,,
a.,From Opening Balance,"2,076.40","4,269.30",0.00,431.30,"6,777.00"
b.,"Out of addition during
the year",0.00,516.10,0.00,69.10,585.20
4,"Closing as at
September 30, 2025","6,311.60","7,266.40",0.00,"22,407.90","35,985.90"
