Particulars,"Net Carrying Value at
the beginning of the
year","Addition during the
year / period","Deletion during the year
/ period","Net Carrying
Value at the
closing of the
year","Depreciation/
Amortisation for
the year"
Land,310.20,-,-,306.50,3.70
Building,-,-,-,-,
Plant and Equipment,-,-,-,-,
Furniture and Fixtures,-,-,-,-,
Vehicles,718.30,2.40,-,589.80,130.90
Office Equipment,-,-,-,-,-
Telecommunication,839.60,350.80,-,912.80,277.60
Railway Sidings,179.20,-,-,175.90,3.30
Rail Corridor,-,-,-,-,-
Intangible Assets,-,-,-,-,-
