"Sl.
No.",Particulars,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
A,"Development of Net Balance Sheet
Position",,,
1,Defined benefit obligation (DBO),"(9,232.70)","(9,216.70)","(7,663.90)"
2,Fair value of plan assets (FVA),"1,544.70","2,494.40","4,335.70"
3,Funded status [surplus/(deficit)],"(7,688.00)","(6,722.30)","(3,328.20)"
4,Effect of Asset ceiling,0.00,0.00,0.00
5,Net defined benefit asset/ (liability),"(7,688.00)","(6,722.30)","(3,328.20)"
