"Descriptio
n
of
property","Gross
carrying
value.
(in ₹
Millions)","Held in
Name of","Whether
promoter,
director
or their
relative
or
employe
e","Period
held –
indicate
range,
where
appropri
ate","Reason for not
being held in
name of the
Company",
,,,,,"name of BCCL, and
for the remaining
land 5067.27 Ha ,
mutation
incompliance with
letter dated
07.04.2022 of
Ministry of Coal is
still pending for
mutation.",
"Other
Land",598.00,"Not
Applicable","Not
Applicabl
e","Different
dates",,Includes 24.22 Ha
,,,,,,of land leased
,,,,,,from Railways.
