CSR Expenses Spent,36.20,49.60,221.50,77.70,104.40
Less: Excess carried forward/(Utilised) during the year,,,,,
Add: Unspent CSR expense on ongoing projects,,6.80,65.20,23.20,29.2
Add: Unspent CSR expense on other than ongoing,,,,,
Amount recognised in Statement of Profit & Loss,36.20,56.40,286.70,100.90,1 33.60
