B,Change in Fair Value of Assets,,,
1,"Fairvalueofassets atendofprior
period","2,494.40","4,335.70","1,127.60"
2,Acquisition adjustment,0.00,0.00,0.00
3,Interest income on plan assets,115.80,243.10,173.20
4,Employer contributions,0.00,0.00,"2,950.00"
