"a) Amount Required to be spent during theyear (2% of
Averagenetprofitsofthecompanymadeduringthethree
immediatelypreceding financial years under Section 135
of the Companies Act, 2013)",288.30,187.50,187.50,N.A.,N.A.
"b)AmountapprovedbytheBoardtobespentduringthe
year",288.30,256.10,288.70,100.90,114.20
c) Amount spent during the year on:,,,,,
(i) Construction/Acquisition of any Asset,,,,,-
(ii) on purposes other than (i) above,36.20,56.40,286.70,100.90,114.20
Total,36.20,56.40,286.70,100.90,114.20
