5,"Returnonplanassetsgreater/(lesser)
than discount rate",614.10,(74.20),196.00
6,Benefits paid,"(1,679.60)","(2,010.20)",(111.00)
7,"FairValueofassetsattheendof
current period","1,544.70","2,494.40","4,335.80"
