Sl No,Case No.,Brief of the Case
1,"CB/01/2022 Registered
on 26.05.2022","IrregularitiesinarbitrarycancellationofBCandFCinatenderofLodna
Areaevenafterrecommendationoftendercommitteemembertoawardthe
work in favour of L-1 tenderer."
2,"CB/02/2022.
Registered on
17.06.2022",Irregularities in handover and takeover of BCCL’s quarter at EJ Area.
3,"CB/04/2022.
Registered on
22.09.2022","IrregularitiesinworkofCoalTransportationfromvariouscoaldumpof
kuyaocptocksidingthroughfeederbreakerduringtheperiodJanuary2021
to May 2021 by the three private coal transporters."
4,"CA/01/2022.
Registered on
07.12.2022","Alleged violation ofterms and conditions ofthecontractand non-
deposition of correct amount of EPF."
