"Name of the
subsidiary","Country of
incorporation
and place of
business",CIN,"Nature of
business",Proportion of ownership interest,,,,
,,,,"September
30, 2025","September
30, 2024","March
31, 2025","March 31,
2024","March 31,
2023"
"Meesho Grocery
Private Limited
(MGPL)
(Incorporated on
March 18, 2024)",India,"U46499KA2024
PTC186369","Low-cost
local logistic
network for
daily
essential",100%,100%,100%,100%,-
"Meesho
Technologies Private
Limited (MTPL)
(Incorporated on
March 22, 2024)",India,"U62099KA2024
PTC186568","E-commerce
platform for
fashion and
consumer
goods",100%,100%,100%,100%,-
"Meesho Payments
Private Limited",India,"U67190KA2019
PTC123770","Digital
finance
service
provider",100%,100%,100%,100%,100%
"Popshop Commerce
Private Limited#",India,"U74999KA2020
FTC133162","E-commerce
transaction
platform",-,-,-,-,-
"PT Fashnear
Technology
Indonesia*",Indonesia,Not applicable,"Wholesale
digital
trading",100%,100%,100%,100%,100%
"Fashnear Shenzhen
Trading Co. Ltd &","People’s
Republic of
China",Not applicable,"Supplier
management
and
evaluation",-,-,-,100%,100%
"Meesho Networks
LLC **",USA,Not applicable,,100%,-,-,-,-
