Annexure B,,
Sl. No.,Name of the subsidiary,Year/Period covered
1,"PT Fashnear Technologies
Indonesia","As at and for the year ended March 31, 2023"
2,"Popshop Commerce Private
Limited","For the period from April 01, 2022 to April 25, 2022 (date of
filing for liquidation)"
