"As at and for the
year ended","Total assets
(Rs. in million)","Total revenue
(Rs. in million)","Net cash inflow/
(outflow)
(Rs. in million)"
"March 31, 2023","89,752.64",Nil,"(15,358.55)"
"As at and for the
year ended","Total assets
(Rs. in million)","Total revenue
(Rs. in million)","Net cash inflow/
(outflow)
(Rs. in million)"
"March 31, 2023",43.59,Nil,(23.41)
