"Current service cost
Interest cost","18.53
2.92","11.36
2.46","31.46
6.99","21.12
4.04","20.86
2.81"
,21.45,13.82,38.45,25.16,23.67
"Remeasurement on the net defined benefit obligation:
-Actuarial (gains) and losses arising from changes in financial assumptions
-Actuarial (gains) and losses arising from experience adjustments","(0.62)
3.63","1.76
(1.25)","0.49
(4.55)","(8.08)
(0.18)","(1.29)
(5.09)"
,3.01,0.51,(4.06),(8.26),(6.38)
