Particulars,"As at and for
six month
period ended
September 30,
2025",As at and six,"As at and for
the year ended
March 31, 2025",As at and for,
,,month period,,the year ended,As at and for
,,ended,,"March 31, 2024",the year ended
,,"September 30,",,,"March 31, 2023"
,,2024,,,
Equity share capital (I),"1,517.89",2.40,"1,517.89",2.40,2.31
Instruments entirely equity in nature (II),"2,604.83","2,490.70","2,604.83","2,490.70",48.80
Other equity (III),"2,812.59","1,968.37","2,481.55","1,724.66","1,712.04"
Net Worth (I + II + III),"6,935.31","4,461.47","6,604.27",",217.76","1,763.15"
Profit/(Loss) for the period/year (IV),210.37,98.36,64.26,(118.82),"(1,426.38)"
Return on Net Worth (%),3.03%,2.20%,0.97%,(2.82) %,(80.90)%
