Particulars,"As at April
1, 2024",Cash flow,Others,"As at
March 31,
2025"
"Non-current borrowings
(including current maturities)",23.08,(7.41),-,15.67
Current borrowings,"7,052.38",(304.70),-,"6,747.68"
Total,"7,075.46",(312.11),-,"6,763.35"
