Particulars,"As at April
1, 2022",Cash flow,Others,"As at
March 31,
2023"
"Non-current borrowings
(including current maturities)",181.23,(66.70),-,114.53
Current borrowings,"6,498.31",(202.82),-,"6,295.49"
Total,"6,679.54",(269.52),-,"6,410.02"
