Reserves and Surplus,Reserves and Surplus,,,,(₹) in Millions
,"Retained
Earnings",General Reserve,"Securities
Premium","Other
Comprehensive
Income",Total
"Balance As at March 31, 2022","1,720.15",435.61,423.20,0 .10,"2,579.05"
Add/Less: Total Comprehensive income,1 74.96,-,-,0 .02,174.98
Transfer (to)/from General Reserve,(12.00),-,-,-,(12.00)
Transfer (to)/from Other Comprehensive Income,-,-,-,-,-
Transfer (to)/from from Retained Earnings,-,1 2.00,-,-,12.00
"Balance as at March 31, 2023","1 ,883.10",4 47.61,4 23.20,0 .11,"2 ,754.03"
