Particulars,"As at
March 31,
2025",Cash flow,Others,"As at
September
30, 2025"
Non-current borrowings,15.67,(2.53),-,13.14
Current borrowings,"6,747.68",406.42,-,"7,154.10"
Total,"6,763.35",403.89,-,"7,167.24"
