Particulars,"As at April
1, 2023",Cash flow,Others,"As at
March 31,
2024"
"Non-current borrowings
(including current maturities)",114.53,(91.45),-,23.08
Current borrowings,"6,295.49",756.89,-,"7,052.38"
Total,"6,410.02",665.44,-,"7,075.46"
