ISIN,Scrip Code,Status,,Outstanding principal,,Maturity
,,,,amount as on,,
,,,,"September 30, 2025 (in",,
,,,,₹ million),,
INE647U08013,973979,Listed,"4,990*",,,"June 8, 2027"
INE647U08039,977267,Listed,-^,,,"June 30, 2027"
