Particulars,"For the six months ended September 30,",,,,Fiscal,,,,,
,2025,,2024,,2025,,2024,,2023,
,"(in ₹
million)",(% of,"(in ₹
million)",(% of,"(in ₹
million)",(% of,"(in ₹
million)",(% of,"(in ₹
million)",(% of
,,Revenue,,Revenue,,Revenue,,Revenue,,Revenue
,,from,,from,,from,,from,,from
,,operations),,operations),,operations),,operations),,operations)
"Renewable
Energy Power
Sales","7,192.15",77.09%,"5,736.14",84.80%,"11,072.48",74.03%,"8,663.33",62.33%,"4,748.15",51.08%
"Renewable
Energy
Services","2,050.07",21.97%,980.44,14.49%,"3,766.53",25.18%,"5,180.04",37.27%,"4,547.67",48.92%
"Other Un-
allocable*",87.31,0.94%,48.08,0.71%,118.00,0.79%,55.00,0.40%,-,-
"Revenue from
Operations","9,329.53",100%,"6,764.66",100%,"14,957.01",100.00%,"13,898.37",100.00%,"9,295.82",100.00%
