Particulars,,"For the six months ended September 30,",,,,,,Fiscal,,,,,,,
,,2025,,,2024,,,2025,,,2024,,,2023,
"Cost of Project
Debt(1)",8.93%,,,9.35%,,,9.19%,,,9.47%,,,9.60%,,
"Corporate Credit
Rating",CARE A+ Positive,,,CARE A+ Positive,,,CARE A+ Positive,,,CARE A+ Stable,,,CARE A- Stable,,
