Sr. No.,"Name of the
Company/LLP",Security,Rate of interest,Terms of repayment,"As at
30th September, 2025","As at
30th September, 2024","As at 31st March, 2025","As at 31st March, 2024","As at 31st March, 2023"
20,"Clean Max Opus Private
Limited","(i) Primary Security
a) first and exclusive charge by way of first ranking registered mortgage/charge on the Mortgaged Properties.
b) first and exclusive charge by way of hypothecation of the entire plant and machinery of the Project including the solar panels, inverters and other associated equipment;
c) first and exclusive charge on the entire Project Cash Flows, current assets, receivables, book debts and revenues of the Project of whatsoever nature and wherever arising, both present and future;
d)assignmentoftheBorrower'sallrights,titles,interests,benefits,claimsanddemandin/undertheProjectDocuments,Clearances,insurancecontractsandproceedsundertheinsurancecontractsrelatingtotheProject,bothpresentandfutureinfavouroftheLender,
and an exclusive first charge thereon in favour of the Lender;
e)firstandexclusivechargeontheDSRAandallProjectrelatedaccountsincludingtheTrustandRetentionAccount,andanyotherbankaccountrelatingtotheProjectwhereinalltheProjectCashFlows,currentassets,receivables,bookdebtsandrevenuesofthe
Project of whatsoever nature and wherever arising, both present and future shall be deposited and all the monies lying to the credit of the Trust and Retention Account and DSRA;
(ii) Collateral Security
a) Exclusive pledge of 51% shares in the shareholding of the Borrower held by the Sponsor/Promoter; and
b) Assignment of the Power Purchase Agreements.
(iii) Guarantee
UnconditionalandirrevocablecorporateguaranteeoftheSponsor/Promoteri.e.,CleanMaxEnviroEnergySolutionsLimited(FormerlyknownasCleanMaxEnviroEnergySolutionsPrivateLimited).TheLendermay,atitsabsolutesolediscretion,releasethesaid
guarantee, on the request of the Borrower in that behalf, after satisfactory testing all financial covenants stipulated by the Lender in the Sanction Letter (as amended from time to time)","Linked to Lender's 6M-
MCLR + spread of 3.75%
subject to changes made by
Lender and RBI from time to
time.","Repayable in 76 Instalments payable
quaterly from March 2025 to December
2043","1,046.13",817.03,"1,062.53",817.04,-
21,"Clean Max Kratos Private
Limited","(i) First charge of entire moveable assets both present and future moveable assets specific to project including but not limited to Plant & machinery, Machinery & tools, and accessories, furniture, fixture, vehicle, etc.
(ii) First charge on all present and future immoveable properties (including land), related to the project both freehold & leasehold (if any) of there borrower;
(iii) First charge on all bank accounts of borrower including but not limited to Escrow account and Debt service Reserve Account (DSRA) specific to the project Created from Fixed deposit or irrevocable bank guarantee
(iv) First exclusive charge on all accounts of borrower including but not limited to Escrow account and Debt service Reserve Account (DSRA) specific to the project.
(v) First exclusive charge on all assignment rights & substitution rights under the PPA,","Linked with IBL - 1 Year
MCLR + Applicable Spread","Repayable in 70 Instalments payable
quarterly from March 2024 to March,
2043",-,-,-,-,746.49
22,"Clean Max Eliora Private
Limited","TheFacility(togetherwithallinterest,liquidateddamages,fees,costs,charges,expenses,andallotheramountsstipulatedandpayabletotheLender)pertainingtotheProjectshallbesecuredontheassetsaslistedbelowonanexclusivechargeinfavourof
Lender(s) / security trustee, in a form and manner satisfactory to Lender:
1. a first ranking charge on all the movable assets of the Borrower pertaining to the Project (present and future).
2. Hypothecation of all the movable assets of the Borrower pertaining to the Project (present and future).
3.afirstrankingchargeonallcurrentassetsoftheBorrowerpertainingtotheProject(presentandfuture)includingbutnotlimitedtoproject’sbookdebts,operatingcashflows,receivables, commissions, revenuesofwhatsoever natureandwherever
arising, intangibles and goodwill.
4.Afirstrankingchargeofalltherights,title,interest,benefits,claimsanddemandswhatsoeveroftheBorrowerpertainingtotheProject(presentandfuture)in(a)ProjectAgreements(includingbutnotlimitedtoEPCContracts,PowerPurchaseAgreement
(PPA),insurancecontracts)asamended,variedorsupplementedfromtimetotime;(b)Clearances,subjecttoApplicableLawand(c)anyletterofcredit,guarantee,performancebond,corporateguarantee,bankguaranteeprovidedbyanypartytotheProject
agreements pertaining to the Project.
5. Hypothecation of intangible assets of the Borrower pertaining to the Project.
6. A first ranking charge on all the Borrower’s bank accounts pertaining to the Project (present and future) including but not limited to the TRA Account, Debt Service Reserve Account etc
7. Hypothecation of Unsecured Loans infused by the Promoter in the Borrower and unsecured loan should be subordinated to bank Loan.
In addition to above,
6 Pledge of shares (equity as well as preference shares) of the Borrower, in the following manner :
Pledge of 30% shares (issued & paid-up equity capital) and quasi-equity instruments.
Non-Disposable Undertaking (without freeze) on 21% aggregating to 51% of borrower company on exclusive basis during the entire tenor of the loan.
6 DSRAequivalenttoDebtServiceobligation(Principalplusinterest)forOneQuarterintheformofFixedDepositstobekeptinproportionatetothedisbursementunderlienduringtheentirecurrencyoftheloan,asapplicableforproject.DSRAmay
be allowed to be replaced by Bank Guarantee","Linked to 1Y MCLR of
Lender + spread of 0.25%
and shall be reset every year","Repayable in 76 Instalments payable
quaterly from Sep 2025 to June 2044","1,257.20","2,885.20","1,270.00",-,-
,,"Personal Guarantee: Nil
CorporateGuarantee:CorporateGuaranteeofthePromoterCompanyMls.CleanMaxEnviroEnergySolutionsPrivateLimited(CMEESPL)(ExternallyratedCAREA+/AI+dated07.11.2023)shouldbeavailableforaminimumperiodupto1year
from the date of COD or till the date of security perfection whichever is later
However, Holding Company/Sponsor company to provide an irrevocable and unconditional undertaking for following:
a) Meeting cost overrun, if any, in the project.
b)Shortfallindebtservicingobligations/replenishmentofanyrequiredreserves(incaseofshortfallinprojectcashflows)towardsmeetingthesamedueundertheFacilitytotheLender(s)includinganyshortfallinprojectcashflowformeetingMandatory
Prepayment obligations of the Borrower.
c) To hold at least 51% shareholding and management control in the Borrower Company, during the entire currency of our term loan. Where Management control shall mean more than 50% shareholding or majority representation on the board of directors.
d)Anundertakingtoinfuse51%ofthepromotercontributionbeforethefirstdisbursementandthereafter51%ofthedebtwillbedrawndown.ThentheremainingpromotercontributionwillbeinfusedinproportiontothedebtdrawdownattheD:Eratioof
theProject.PromotercontributionmaybeinfusedintheformofUnsecuredLoanasstipulatedinthePromoterContributionclause.Unsecuredloansoranycontribution(present&future)bytheparentcompanyshallbesubordinatedtotheseniorlenders,andany
interest payment of the same shall be done only after meeting due payments of principal as well as interest of our facilities and satisfying of restrictive payment conditions.
e) To infuse the funds in the SPVs to maintain minimum DSCR in case of DSCR falls below 1.10 times during the currency of loan",,,,,,,
23,"Clean Max Eliora Private
Limited","TheFacility(togetherwithallinterest,liquidateddamages,fees,costs,charges,expenses,andallotheramountsstipulatedandpayabletotheLender)pertainingtotheProjectshallbesecuredontheassetsaslistedbelowonanexclusivechargeinfavourof
Lender(s) / security trustee, in a form and manner satisfactory to Lender:
1. Mortgage (equitable / registered / sub-lease rights / lease hold rights) of all the immovable assets of the Borrower pertaining to the Project (present and future), as applicable.
2. Hypothecation of all the movable assets of the Borrower pertaining to the Project (present and future).
3.HypothecationonallcurrentassetsoftheBorrowerpertainingtotheProject(presentandfuture)includingbutnotlimitedtoproject’sbookdebts,operatingcashflows,receivables, commissions,revenuesofwhatsoever natureandwhereverarising,
intangibles and goodwill.
4.Hypothecationofalltherights,title,interest,benefits,claimsanddemandswhatsoeveroftheBorrowerpertainingtotheProject(presentandfuture)in(a)ProjectAgreements(includingbutnotlimitedtoEPCContracts,PowerPurchaseAgreement(PPA),
insurancecontracts)asamended,variedorsupplementedfromtimetotime;(b)Clearances,subjecttoApplicableLawand(c)anyletterofcredit,guarantee, performancebond,corporateguarantee, bankguaranteeprovidedbyanypartytotheProject
agreements pertaining to the Project.
5. Hypothecation of intangible assets of the Borrower pertaining to the Project.
6. Hypothecation of all the Borrower’s bank accounts pertaining to the Project (present and future) including but not limited to the TRA Account, Debt Service Reserve Account etc
7. Hypothecation of Unsecured Loans infused by the Promoter in the Borrower and unsecured loan should be subordinated to bank Loan.
In addition to above,
1 Pledge of shares (equity as well as preference shares) of the Borrower, in the following manner :
Pledge of 30% shares (issued & paid-up equity capital) and quasi-equity instruments.
Non-Disposable Undertaking (without freeze) on 21% aggregating to 51% of borrower company on exclusive basis during the entire tenor of the loan.
2 DSRAequivalenttoDebtServiceobligation(Principalplusinterest)forOneQuarterintheformofFixedDepositstobekeptinproportionatetothedisbursementunderlienduringtheentirecurrencyoftheloan,asapplicableforproject.DSRAmay
be allowed to be replaced by Bank Guarantee","Linked to 1Y MCLR of
Lender + spread of 0.25%
and shall be reset every year","Repayable in 76 Instalments payable
quarterly from Sep 2025 to June 2044","2,348.00",-,"2,108.80",-,-
,,"Personal Guarantee: Nil
CorporateGuarantee:CorporateGuaranteeofthePromoterCompanyMls.CleanMaxEnviroEnergySolutionsPrivateLimited(CMEESPL)(ExternallyratedCAREA+/AI+dated07.11.2023)shouldbeavailableforaminimumperiodupto1year
from the date of COD or till the date of security perfection whichever is later
However, Holding Company/Sponsor company to provide an irrevocable and unconditional undertaking for following:
a) Meeting cost overrun, if any, in the project.
b)Shortfallindebtservicingobligations/replenishmentofanyrequiredreserves(incaseofshortfallinprojectcashflows)towardsmeetingthesamedueundertheFacilitytotheLender(s)includinganyshortfallinprojectcashflowformeetingMandatory
Prepayment obligations of the Borrower.
c) To hold at least 51% shareholding and management control in the Borrower Company, during the entire currency of our term loan. Where Management control shall mean more than 50% shareholding or majority representation on the board of directors.
d)Anundertakingtoinfuse51%ofthepromotercontributionbeforethefirstdisbursementandthereafter51%ofthedebtwillbedrawndown.ThentheremainingpromotercontributionwillbeinfusedinproportiontothedebtdrawdownattheD:Eratioof
theProject.PromotercontributionmaybeinfusedintheformofUnsecuredLoanasstipulatedinthePromoterContributionclause.Unsecuredloansoranycontribution(present&future)bytheparentcompanyshallbesubordinatedtotheseniorlenders,andany
interest payment of the same shall be done only after meeting due payments of principal as well as interest of our facilities and satisfying of restrictive payment conditions.
e) To infuse the funds in the SPVs to maintain minimum DSCR in case of DSCR falls below 1.10 times during the currency of loan",,,,,,,
