Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt,DebtEquityRatio,NetProfitMargin,ROA,RevenueGrowth,ProfitGrowth
2023,0.25,94.6,0.1,679.16,402.55,87.82,0.21815923487765493,37840.0,94599.99999999999,,
2024,0.0,118.93,1.96,1047.03,523.48,105.9,0.20229999235882937,,6067.857142857143,-100.0,25.718816067653293
2025,1.33,295.28,10.69,1384.19,818.76,59.12,0.072206751673262,22201.503759398493,2762.207670720299,inf,148.28050113512145
