Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt
2023,0.25,94.6,0.1,679.16,402.55,87.82
2024,0.0,118.93,1.96,1047.03,523.48,105.9
2025,1.33,295.28,10.69,1384.19,818.76,59.12
