Particulars,,Period,,,,,,,
,,"July 1, 2025",,"April 1, 2025
to June 30,
2025","Financial
year ended
March 31,
2025","Financial
year ended
March 31,
2024","Financial
year ended
March 31,
2023",Financial,
,,to until the,,,,,,year ended,
,,date of this,,,,,,"March 31,",
,,Red Herring,,,,,,2023,
,,Prospectus,,,,,,,
