Particulars,,Continuing business segments,,"Discontinued business
segments",Total
Reportable segments,For the period/year ended,"Home appliances and air
solution division","Home entertainment
division","Mobile communications
division",
"Revenue from operations
-External
Other income","June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023
June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023","49,082.30
50,609.38
182,678.57
156,797.49
150,306.78
3.25
5.21
7.87
13.52
16.32","13,547.08
13,478.59
60,987.81
56,722.51
48,339.15
0.36
-
2.04
1.00
4.60","-
-
-
-
3 6.46
-
-
-
-
-","6 2,629.38
6 4,087.97
2 43,666.38
2 13,520.00
1 98,682.39
3 .61
5 .21
9 .91
1 4.52
2 0.92"
Total,"June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023","49,085.55
50,614.59
182,686.44
156,811.01
150,323.10","13,547.44
13,478.59
60,989.85
56,723.51
48,343.75","-
-
-
-
3 6.46","6 2,632.99
6 4,093.18
2 43,676.29
2 13,534.52
1 98,703.31"
"Costofgoodssold(Costofmaterialsconsumed,Purchases
of stock-in-trade and Changes in inventories of finished
goods, stock-in-trade and work-in-progress)
Expenses excluding cost of goods sold
Segment result
Unallocable income (Other income)
Unallocable expenses
Operating income
Interest expense
Interest income
Profit before tax
Tax expense
Profit for the period/year","June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023
June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023
June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023
June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023
June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023
June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023
June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023
June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023
June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023
June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023
June 30, 2025
June 30, 2024
March 31, 2025
March 31, 2024
March 31, 2023","32,984.06
33,369.19
121,995.63
108,556.83
107,866.22
10,458.92
9,674.18
37,256.49
31,511.26
29,458.40
5,642.57
7,571.22
23,434.32
16,742.92
12,998.48","9,847.28
9,454.45
43,805.25
40,744.95
32,414.51
1,575.33
1,687.22
7,875.50
9,098.66
7,856.55
2,124.83
2,336.92
9,309.10
6,879.90
8,072.69","-
-
-
-
3 2.86
-
-
-
-
4 5.60
-
-
-
-
(42.00)","4 2,831.34
4 2,823.64
1 65,800.88
1 49,301.78
1 40,313.59
1 2,034.25
1 1,361.40
4 5,131.99
4 0,609.92
3 7,360.55
7 ,767.40
9 ,908.14
3 2,743.42
2 3,622.82
2 1,029.17
1 1.93
1 7.37
6 7.14
4 7.18
2 17.48
1 ,503.47
1 ,289.48
5 ,435.84
5 ,003.26
5 ,061.03"
,,,,,"6 ,275.86
8 ,636.03
2 7,374.72
1 8,666.74
1 6,185.62"
,,,,,"8 5.03
6 9.35
3 06.46
2 85.05
2 25.84
7 28.72
5 57.42
2 ,562.85
1 ,989.48
2 ,201.51"
,,,,,"6 ,919.55
9 ,124.10
2 9,631.11
2 0,371.17
1 8,161.29
1 ,787.00
2 ,327.64
7 ,597.63
5 ,260.49
4 ,711.99"
,,,,,"5 ,132.55
6 ,796.46
2 2,033.48
1 5,110.68
1 3,449.30"
