"Balance as at
April 01, 2024",,"Amount required to
be spent during the
year","Additional amount
required to be spent on
account of interest
earned on bank
deposits made out of
separate CSR unspent
account
(Net of tax)","Amount spent during the
year",,"Balance as at
March 31, 2025",
With the Company,"In separate CSR
unspent account",,,"From the Company's
bank account","From separate CSR
unspent account","With the Company
#","In separate CSR
unspent account"
INR,INR,INR,INR,INR,INR,INR,INR
3 32.97,5 71.30,362.51,4 .53,1 3.37,432.00,3 49.14,476.80
