S. No.,Name of Mine,Location,,Peak Rated,,,Percentage of,
,,,,Capacity,,,Revenue Share,
,,,,(Million Tonnes),,,(%),
1.,"Amalgamated Salanpur
Gaslitand Katras Choitudih
Colliery (ASGKCC)","Dhanbad, Jharkhand",1.40,,,9.00%,,
2.,PB Project Colliery,"Dhanbad, Jharkhand",2.70,,,6.00%,,
3.,Loyabad Colliery,"Dhanbad, Jharkhand",1.28,,,7.29%,,
4.,Kharkharee Colliery,"Dhanbad, Jharkhand",1.20,,,12.02%,,
5.,Madhuband Colliery,"Dhanbad, Jharkhand",1.50,,,5.40%,,
6.,Amlabad Colliery,"Dhanbad, Jharkhand",0.30,,,4.10%,,
