Particulars,,Fiscal 2025,,,,,Fiscal 2024,,,,,Fiscal 2023,,,
,"Amount
(in ₹
million)",Amount,,Percentage of,,"Amount
(in ₹
million)",Amount,,Percentage of,,"Amount
(in ₹
million)",Amount,,Percentage of,
,,(in ₹,,Revenue from,,,(in ₹,,Revenue from,,,(in ₹,,Revenue from,
,,million),,Operations,,,million),,Operations,,,million),,Operations,
,,,,(%),,,,,(%),,,,,(%),
"Revenue
generated from
former customer",-,,-,,,"4,492.11",,3.15%,,,"6,240.62",,4.94%,,
