Particulars,,Fiscal 2025,,,,,Fiscal 2024,,,,,Fiscal 2023,,,
,"Amount
(in ₹
million)",Amount,,Percentage of,,"Amount
(in ₹
million)",Amount,,Percentage of,,"Amount
(in ₹
million)",Amount,,Percentage of,
,,(in ₹,,Revenue from,,,(in ₹,,Revenue from,,,(in ₹,,Revenue from,
,,million),,Operations,,,million),,Operations,,,million),,Operations,
,,,,(%),,,,,(%),,,,,(%),
"Capital
expenditure","18,149.40",,13.15%,,,"12,375.30",,8.69%,,,"9,865.30",,7.81%,,
