Period/Fiscal,,Raw Coal,,,,,,,,Washed Coal*,,,
,Coking Coal,Coking Coal,,Non-Coking,,Total,Total,,,Washed Coking,,,Washed Power
,,,,Coal,,,,,,Coal,,,Coal
,,(Million Tonnes),,,,,,,,,,,
"Six months period
ended September
30, 2025",15.05,,0.70,,,15.75,,,0.72,,,1.52,
"Six months period
ended September
30, 2024",18.39,,0.70,,,19.09,,,0.84,,,1.54,
Fiscal 2025,38.89,,1.61,,,40.5,,,1.65,,,3.16,
Fiscal 2024,39.11,,1.99,,,41.1,,,1.46,,,2.84,
Fiscal 2023,33.72,,2.46,,,36.18,,,1.43,,,2.48,
