,S.,,Name of Director,,Name of Listed Company where,
,No.,,,,Directorship is/was held,
1.,,,Sa noj Kumar Jha,NLC India Limited and Coal India Limited,,
2.,,,M ukesh Choudhary,Coal India Limited,,
3.,,,Ar un Kumar Oraon*,Coal India Limited,,
