Particulars,,Fiscal 2025#,,,,,Fiscal 2024##,,,,,Fiscal 2023###,,,
,"Amount
(in ₹
million)",Amount,,Percentage of,,"Amount
(in ₹
million)",Amount,,Percentage of,,"Amount
(in ₹
million)",Amount,,Percentage of,
,,(in ₹,,Revenue from,,,(in ₹,,Revenue from,,,(in ₹,,Revenue from,
,,million),,Operations,,,million),,Operations,,,million),,Operations,
,,,,(%),,,,,(%),,,,,(%),
"Revenue from top
10 customers^","122,679.20",,88.88%,,,"115,111.67",,80.79%,,,"104,901.20",,83.10%,,
