,"Amount
(in ₹
million)",Amount,,Percentage,,"Amount
(in ₹
million)",Amount,,Percentage,,"Amount
(in ₹
million)",Amount,,Percentage,
,,(in ₹,,of revenue,,,(in ₹,,of revenue,,,(in ₹,,of revenue,
,,million),,from,,,million),,from,,,million),,from,
,,,,operations,,,,,operations,,,,,operations,
"Revenue from Coal India Limited and its
subsidiaries","14,106.8",,67.1%,,,"13,902.7",,80.2%,,,"11,461.0",,82.7%,,
"Revenue from clients other than Coal
India Limited and its subsidiaries","6,920.8",,32.9%,,,"3,424.2",,19.8%,,,"2,399.9",,17.3%,,
