,,Amount,,,Percentage of revenue,,,Amount,,,Percentage of revenue,
,,(in ₹ million),,,from operations,,,(in ₹ million),,,from operations,
"Geological Exploration
and Resource Evaluation","6,819.2",,,45.8%,,,6133.3,,,45.0%,,
"Mine Planning and
Design Services","2,937.1",,,19.7%,,,2736.7,,,20.1%,,
Environment Services,"2,651.1",,,17.8%,,,2309.4,,,17.0%,,
"Geomatics and Survey
Services","2,489.1",,,16.7%,,,2444.9,,,17.9%,,
Total,"14,896.5",,,100.0%,,,"13,624.3",,,100.0%,,
