Particulars,"Nine months ended December 31,",,Fiscal,,
,2025,2024,2025,2024,2023
"Profit for the period/
year (in ₹ million) (A)","4,253.6","3,899.5","6,669.1",5032.3,2966.6
"Opening total equity (in
₹ million) (B)","20,418.5","15,916.1","15,916.1","12,176.5","9,956.2"
"Closing total equity (in
₹ million) (C)","21,537.8","17,640.0","20,418.5","15,916.1","12,176.5"
"Average shareholders'
equity (in ₹ million)
(D) = (B+C)/2","20,978.2","16,778.1","18,167.3","14,046.3","11,066.4"
"Return on Average
Equity ratio (E = A/D)",20.3%,23.2%,36.7%,35.8%,26.8%
