Particulars,"Nine months ended December 31,",,Fiscal,,
,2025,2024,2025,2024,2023
"Equity share
capital (A)","1,428.0","1,428.0","1,428.0","1,428.0","1,428.0"
Other equity (B),"20,109.8","16,212.2","18,990.5","14,488.1","10,748.5"
"Net Worth
(C=A+B)","21,537.8","17,640.0","20,418.5","15,916.1","12,176.5"
