Particulars,Nine months ended,,,,,Fiscal,,,,,,,
,"December 31,",,,,,,,,,,,,
,2025,,,2024,,,2025,,,2024,,,2023
Profit for the period/year (A),"4,253.6",,"3,899.5",,,"6,669.1",,,"5,032.3",,,"2,966.6",
Total Income (B),"15,439.3",,"13,993.5",,,"21,775.3",,,"17,701.8",,,"13,987.8",
PAT Margin %(C=A/B),27.6%,,27.9%,,,30.6%,,,28.4%,,,21.2%,
