Particulars,,Fiscal 2025,,,,,Fiscal 2024,,,,,Fiscal 2023,,,
,"Amount
(₹ million)",,,Percentage of,,"Amount
(₹ million)",,,Percentage of,,"Amount
(₹ million)",,,Percentage of,
,,,,Revenue from,,,,,Revenue from,,,,,Revenue from,
,,,,Operations,,,,,Operations,,,,,Operations,
"Geological
Exploration and
Resource
Evaluation","9,708.4",,46.2%,,,"6,687.0",,38.6%,,,"5,449.4",,39.3%,,
"Mine Planning
and Design
Services","4,452.8",,21.2%,,,"4,750.3",,27.4%,,,"3,630.6",,26.2%,,
"Environment
Services","3,597.0",,17.1%,,,"3,051.3",,17.6%,,,"2,754.3",,19.9%,,
"Geomatics and
Survey Services","3,269.4",,15.5%,,,"2,838.3",,16.4%,,,"2,026.6",,14.6%,,
Total,"21,027.6",,100.0%,,,"17,326.9",,100.0%,,,"13,860.9",,100.0%,,
