Sr. No.,Name of the Promoter,No. of Equity Shares held,% of pre- Issue Equity Share
,,of face value of ₹ 10 each,capital
1.,Govind Vishwanath Gadgil,"6,975,000",31.90%
2.,Renu Govind Gadgil,"6,975,000",31.90%
3.,P. N. Gadgil & Sons Limited,"4,207,500",19.24%
,Total,"18,157,500",83.04%
