Particulars,"September 30,2025","March 31, 2025","March 31, 2024","March 31, 2023"
"Accounting profit before tax
Statutory tax rate (%)
Estimated tax expense on profit
Capital gain on sale of Investment property taxed at lower rate
Others
Total income tax expense","2 68.22
25.17%
6 7.51
-
(0.62)","7 92.10
25.17%
1 99.35
(0.76)
(1.24)","5 66.76
25.17%
1 42.64
-
(0.02)","6 91.78
25.17%
1 74.11
-
0.20"
,6 6.89,1 97.35,1 42.62,1 74.31
