Name of shareholder,"March 31, 2025",
,Number of shares,% holding
"Equity shares
Govind Vishwanath Gadgil
Renu Vishwanath Gadgil
P. N. Gadgil & Sons Limited","15,50,000
15,50,000
9 ,35,000","31.90%
31.90%
19.24%"
Total,"40,35,000",83.04%
