Particulars,"From April 01, 2025 to
September 30, 2025","March 31, 2025","March 31, 2024","March 31, 2023"
"Payment to auditors (exclusive of taxes)
Audit fees
Tax audit fees
Others","0.60
-
0.01","0.30
0.20
0.05","0 .25
-
-","0.25
-
-"
Total,0 .61,0 .55,0.25,0 .25
